,postseason,home_team_score,visitor_team_score,home_win,home_name,visitor_name,home_abbrev,visitor_abbrev,home_avg_points,home_avg_points_allowed,home_avg_difference,home_wins_percent,away_avg_points,away_avg_points_allowed,away_avg_difference,away_wins_percent,date
40,False,114,107,1,LA Clippers,Portland Trail Blazers,LAC,POR,118.5,115.5,3.0,0.5,126.5,118.5,8.0,0.5,2025-10-26
41,False,120,127,0,Sacramento Kings,Los Angeles Lakers,SAC,LAL,110.5,112.0,-1.5,0.5,118.5,114.5,4.0,0.5,2025-10-26
42,False,95,116,0,Detroit Pistons,Cleveland Cavaliers,DET,CLE,115.0,113.0,2.0,0.6666666666666666,120.0,118.66666666666667,1.3333333333333286,0.6666666666666666,2025-10-27
43,False,114,127,0,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,114.0,117.33333333333333,-3.3333333333333286,0.6666666666666666,132.0,124.0,8.0,0.5,2025-10-27
44,False,136,124,1,Philadelphia 76ers,Orlando Magic,PHI,ORL,121.0,118.5,2.5,1.0,110.0,114.0,-4.0,0.3333333333333333,2025-10-27
45,False,128,123,1,Chicago Bulls,Atlanta Hawks,CHI,ATL,112.5,104.5,8.0,1.0,109.66666666666667,120.66666666666667,-11.0,0.3333333333333333,2025-10-27
46,False,137,109,1,Houston Rockets,Brooklyn Nets,HOU,BKN,117.5,120.0,-2.5,0.0,116.0,128.33333333333334,-12.333333333333343,0.0,2025-10-27
47,False,90,122,0,New Orleans Pelicans,Boston Celtics,NOP,BOS,119.0,124.0,-5.0,0.0,108.0,113.66666666666667,-5.666666666666671,0.0,2025-10-27
48,False,121,103,1,San Antonio Spurs,Toronto Raptors,SAS,TOR,121.0,105.0,16.0,1.0,127.66666666666667,126.33333333333333,1.3333333333333428,0.3333333333333333,2025-10-27
49,False,94,101,0,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,112.66666666666667,123.66666666666667,-11.0,0.3333333333333333,127.66666666666667,119.66666666666667,8.0,1.0,2025-10-27
50,False,138,134,1,Utah Jazz,Phoenix Suns,UTA,PHX,116.5,106.5,10.0,0.5,111.0,126.0,-15.0,0.3333333333333333,2025-10-27
51,False,131,118,1,Golden State Warriors,Memphis Grizzlies,GSW,MEM,125.0,126.33333333333333,-1.3333333333333286,0.6666666666666666,123.33333333333333,123.66666666666667,-0.3333333333333428,0.6666666666666666,2025-10-27
52,False,108,122,0,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,121.33333333333333,116.33333333333333,5.0,0.6666666666666666,120.0,117.0,3.0,0.3333333333333333,2025-10-27
53,False,134,139,0,Washington Wizards,Philadelphia 76ers,WAS,PHI,116.66666666666667,126.33333333333333,-9.666666666666657,0.3333333333333333,126.0,120.33333333333333,5.666666666666671,1.0,2025-10-28
54,False,144,117,1,Miami Heat,Charlotte Hornets,MIA,CHA,127.33333333333333,115.33333333333333,12.0,0.6666666666666666,132.0,118.33333333333333,13.666666666666671,0.6666666666666666,2025-10-28
55,False,121,111,1,Milwaukee Bucks,New York Knicks,MIL,NYK,122.66666666666667,118.0,4.666666666666671,0.6666666666666666,110.33333333333333,107.0,3.3333333333333286,0.6666666666666666,2025-10-28
56,False,107,101,1,Oklahoma City Thunder,Sacramento Kings,OKC,SAC,121.0,113.25,7.75,1.0,113.66666666666667,117.0,-3.3333333333333286,0.3333333333333333,2025-10-28
57,False,98,79,1,Golden State Warriors,LA Clippers,GSW,LAC,126.5,124.25,2.25,0.75,117.0,112.66666666666667,4.333333333333329,0.6666666666666666,2025-10-28
58,False,125,105,1,Boston Celtics,Cleveland Cavaliers,BOS,CLE,111.5,107.75,3.75,0.25,119.0,112.75,6.25,0.75,2025-10-29
59,False,135,116,1,Detroit Pistons,Orlando Magic,DET,ORL,110.0,113.75,-3.75,0.5,113.5,119.5,-6.0,0.25,2025-10-29
60,False,112,117,0,Brooklyn Nets,Atlanta Hawks,BKN,ATL,114.25,130.5,-16.25,0.0,113.0,122.5,-9.5,0.25,2025-10-29
61,False,121,139,0,Toronto Raptors,Houston Rockets,TOR,HOU,121.5,125.0,-3.5,0.25,124.0,116.33333333333333,7.666666666666671,0.3333333333333333,2025-10-29
62,False,126,113,1,Chicago Bulls,Sacramento Kings,CHI,SAC,117.66666666666667,110.66666666666667,7.0,1.0,110.5,114.5,-4.0,0.25,2025-10-29
63,False,107,105,1,Dallas Mavericks,Indiana Pacers,DAL,IND,108.0,118.0,-10.0,0.25,116.0,127.66666666666667,-11.666666666666671,0.0,2025-10-29
64,False,122,88,1,Denver Nuggets,New Orleans Pelicans,DEN,NOP,130.33333333333334,120.66666666666667,9.666666666666671,0.6666666666666666,109.33333333333333,123.33333333333333,-14.0,0.0,2025-10-29
65,False,134,136,0,Utah Jazz,Portland Trail Blazers,UTA,POR,123.66666666666667,115.66666666666667,8.0,0.6666666666666666,120.5,114.75,5.75,0.5,2025-10-29
66,False,115,116,0,Minnesota Timberwolves,Los Angeles Lakers,MIN,LAL,114.0,119.75,-5.75,0.5,118.0,117.75,0.25,0.5,2025-10-29
67,False,113,114,0,Phoenix Suns,Memphis Grizzlies,PHX,MEM,116.75,129.0,-12.25,0.25,122.0,125.5,-3.5,0.5,2025-10-29
68,False,107,123,0,Charlotte Hornets,Orlando Magic,CHA,ORL,128.25,124.75,3.5,0.5,114.0,122.6,-8.599999999999994,0.2,2025-10-30
69,False,120,110,1,Milwaukee Bucks,Golden State Warriors,MIL,GSW,122.25,116.25,6.0,0.75,120.8,115.2,5.599999999999994,0.8,2025-10-30
70,False,127,108,1,Oklahoma City Thunder,Washington Wizards,OKC,WAS,118.2,110.8,7.400000000000006,1.0,121.0,129.5,-8.5,0.25,2025-10-30
71,False,107,101,1,San Antonio Spurs,Miami Heat,SAS,MIA,121.0,104.5,16.5,1.0,131.5,115.75,15.75,0.75,2025-10-30
72,False,108,128,0,Indiana Pacers,Atlanta Hawks,IND,ATL,113.25,122.5,-9.25,0.0,113.8,120.4,-6.6000000000000085,0.4,2025-10-31
73,False,108,109,0,Philadelphia 76ers,Boston Celtics,PHI,BOS,129.25,123.75,5.5,1.0,114.2,107.2,7.0,0.4,2025-10-31
74,False,101,112,0,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,116.2,115.2,1.0,0.6,121.4,127.8,-6.3999999999999915,0.2,2025-10-31
75,False,135,125,1,Chicago Bulls,New York Knicks,CHI,NYK,119.75,111.25,8.5,1.0,110.5,110.5,0.0,0.5,2025-10-31
76,False,112,117,0,Memphis Grizzlies,Los Angeles Lakers,MEM,LAL,120.4,123.0,-2.5999999999999943,0.6,117.6,117.2,0.3999999999999915,0.6,2025-10-31
77,False,118,96,1,Phoenix Suns,Utah Jazz,PHX,UTA,116.0,126.0,-10.0,0.2,126.25,120.75,5.5,0.5,2025-10-31
78,False,109,107,1,Portland Trail Blazers,Denver Nuggets,POR,DEN,123.6,118.6,5.0,0.6,128.25,112.5,15.75,0.75,2025-10-31
79,False,126,124,1,LA Clippers,New Orleans Pelicans,LAC,NOP,107.5,109.0,-1.5,0.5,104.0,123.0,-19.0,0.0,2025-10-31
80,False,133,135,0,Milwaukee Bucks,Sacramento Kings,MIL,SAC,121.8,115.0,6.799999999999997,0.8,111.0,116.8,-5.799999999999997,0.2,2025-11-01
81,False,105,122,0,Charlotte Hornets,Minnesota Timberwolves,CHA,MIN,124.0,124.4,-0.4000000000000057,0.4,114.2,119.0,-4.799999999999997,0.4,2025-11-01
82,False,114,109,1,Indiana Pacers,Golden State Warriors,IND,GSW,112.2,123.6,-11.399999999999991,0.0,119.0,116.0,3.0,0.6666666666666666,2025-11-01
83,False,94,125,0,Washington Wizards,Orlando Magic,WAS,ORL,118.4,129.0,-10.599999999999994,0.2,115.5,120.0,-4.5,0.3333333333333333,2025-11-01
84,False,101,128,0,Boston Celtics,Houston Rockets,BOS,HOU,113.33333333333333,107.33333333333333,6.0,0.5,127.75,117.5,10.25,0.5,2025-11-01
85,False,122,110,1,Detroit Pistons,Dallas Mavericks,DET,DAL,115.0,114.2,0.7999999999999972,0.6,107.8,115.4,-7.6000000000000085,0.4,2025-11-01
86,False,137,106,1,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,119.66666666666667,110.33333333333333,9.333333333333343,1.0,108.0,123.6,-15.599999999999994,0.0,2025-11-02
87,False,105,129,0,Brooklyn Nets,Philadelphia 76ers,BKN,PHI,113.8,127.8,-14.0,0.0,125.0,120.8,4.200000000000003,0.8,2025-11-02
88,False,126,103,1,Charlotte Hornets,Utah Jazz,CHA,UTA,120.83333333333333,124.0,-3.1666666666666714,0.3333333333333333,120.2,120.2,0.0,0.4,2025-11-02
89,False,117,109,1,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,113.66666666666667,114.66666666666667,-1.0,0.5,116.16666666666667,118.33333333333333,-2.166666666666657,0.5,2025-11-02
90,False,117,104,1,Toronto Raptors,Memphis Grizzlies,TOR,MEM,119.83333333333333,123.33333333333333,-3.5,0.3333333333333333,119.0,122.0,-3.0,0.5,2025-11-02
91,False,128,116,1,New York Knicks,Chicago Bulls,NYK,CHI,113.4,115.4,-2.0,0.4,122.8,114.0,8.799999999999997,1.0,2025-11-02
92,False,130,118,1,Phoenix Suns,San Antonio Spurs,PHX,SAS,116.33333333333333,121.0,-4.666666666666671,0.3333333333333333,118.2,103.8,14.400000000000006,1.0,2025-11-02
93,False,130,120,1,Los Angeles Lakers,Miami Heat,LAL,MIA,117.5,116.33333333333333,1.1666666666666714,0.6666666666666666,125.4,114.0,11.400000000000006,0.6,2025-11-02
94,False,109,125,0,Brooklyn Nets,Minnesota Timberwolves,BKN,MIN,112.33333333333333,128.0,-15.666666666666671,0.0,115.5,116.66666666666667,-1.1666666666666714,0.5,2025-11-03
95,False,115,117,0,Indiana Pacers,Milwaukee Bucks,IND,MIL,112.5,121.16666666666667,-8.666666666666671,0.16666666666666666,123.66666666666667,118.33333333333333,5.333333333333343,0.6666666666666666,2025-11-03
96,False,103,105,0,Boston Celtics,Utah Jazz,BOS,UTA,111.57142857142857,110.28571428571429,1.2857142857142776,0.42857142857142855,117.33333333333333,121.16666666666667,-3.833333333333343,0.3333333333333333,2025-11-03
97,False,119,102,1,New York Knicks,Washington Wizards,NYK,WAS,115.83333333333333,115.5,0.3333333333333286,0.5,114.33333333333333,128.33333333333334,-14.000000000000014,0.16666666666666666,2025-11-03
98,False,110,102,1,Houston Rockets,Dallas Mavericks,HOU,DAL,127.8,114.2,13.599999999999994,0.6,108.16666666666667,116.5,-8.333333333333329,0.3333333333333333,2025-11-03
99,False,106,114,0,Memphis Grizzlies,Detroit Pistons,MEM,DET,116.85714285714286,121.28571428571429,-4.428571428571431,0.42857142857142855,116.16666666666667,113.5,2.6666666666666714,0.6666666666666666,2025-11-03
100,False,130,124,1,Denver Nuggets,Sacramento Kings,DEN,SAC,124.0,111.8,12.200000000000003,0.6,115.0,119.5,-4.5,0.3333333333333333,2025-11-03
101,False,115,123,0,Portland Trail Blazers,Los Angeles Lakers,POR,LAL,121.16666666666667,116.66666666666667,4.5,0.6666666666666666,119.28571428571429,116.85714285714286,2.4285714285714306,0.7142857142857143,2025-11-03
102,False,119,120,0,LA Clippers,Miami Heat,LAC,MIA,111.2,112.0,-0.7999999999999972,0.6,124.5,116.66666666666667,7.833333333333329,0.5,2025-11-03
103,False,128,100,1,Toronto Raptors,Milwaukee Bucks,TOR,MIL,119.42857142857143,120.57142857142857,-1.1428571428571388,0.42857142857142855,122.71428571428571,117.85714285714286,4.857142857142847,0.7142857142857143,2025-11-04
104,False,127,112,1,Atlanta Hawks,Orlando Magic,ATL,ORL,115.14285714285714,118.14285714285714,-3.0,0.42857142857142855,116.85714285714286,116.28571428571429,0.5714285714285694,0.42857142857142855,2025-11-04
105,False,113,111,1,Chicago Bulls,Philadelphia 76ers,CHI,PHI,121.66666666666667,116.33333333333333,5.333333333333343,0.8333333333333334,125.66666666666667,118.16666666666667,7.5,0.8333333333333334,2025-11-04
106,False,116,112,1,New Orleans Pelicans,Charlotte Hornets,NOP,CHA,107.66666666666667,125.83333333333333,-18.166666666666657,0.0,121.57142857142857,121.0,0.5714285714285694,0.42857142857142855,2025-11-04
107,False,118,107,1,Golden State Warriors,Phoenix Suns,GSW,PHX,117.57142857142857,115.71428571428571,1.8571428571428612,0.5714285714285714,118.28571428571429,120.57142857142857,-2.2857142857142776,0.42857142857142855,2025-11-04
108,False,107,126,0,LA Clippers,Oklahoma City Thunder,LAC,OKC,112.5,113.33333333333333,-0.8333333333333286,0.5,122.14285714285714,109.71428571428571,12.42857142857143,1.0,2025-11-04
109,False,132,121,1,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI,114.14285714285714,113.85714285714286,0.2857142857142776,0.5714285714285714,123.57142857142857,117.42857142857143,6.142857142857139,0.7142857142857143,2025-11-05
110,False,114,103,1,Detroit Pistons,Utah Jazz,DET,UTA,115.85714285714286,112.42857142857143,3.4285714285714306,0.7142857142857143,115.57142857142857,118.57142857142857,-3.0,0.42857142857142855,2025-11-05
111,False,103,112,0,Indiana Pacers,Brooklyn Nets,IND,BKN,112.85714285714286,120.57142857142857,-7.714285714285708,0.14285714285714285,111.85714285714286,127.57142857142857,-15.714285714285708,0.0,2025-11-05
